"Kept","Deleted","Hash"
"public\images\hero\iglesia2.jpg","public\images\Actividades\WhatsApp Image 2026-03-21 at 2.37.05 PM (6).jpeg","A6C799B98DE4"
"public\images\Fogatas\WhatsApp Image 2026-03-21 at 2.41.32 PM (1).jpeg","public\images\Actividades\WhatsApp Image 2026-03-21 at 2.37.02 PM.jpeg","59D23CB4A246"
